investor_id,avg_gap_days,max_gap_days,sip_count,status
INV000004,85.4,265.0,5,At-Risk
INV000008,70.4,165.0,5,At-Risk
INV000010,64.8,139.0,5,At-Risk
INV000011,40.166666666666664,125.0,6,At-Risk
INV000012,57.0,132.0,7,At-Risk
INV000013,55.333333333333336,104.0,6,At-Risk
INV000014,75.33333333333333,128.0,6,At-Risk
INV000023,58.57142857142857,115.0,7,At-Risk
INV000028,93.6,238.0,5,At-Risk
INV000029,60.666666666666664,96.0,6,At-Risk
INV000030,47.625,100.0,8,At-Risk
INV000033,45.57142857142857,87.0,7,At-Risk
INV000039,68.6,129.0,5,At-Risk
INV000045,70.6,109.0,5,At-Risk
INV000048,46.0,168.0,8,At-Risk
INV000052,36.2,120.0,5,At-Risk
INV000056,74.8,161.0,5,At-Risk
INV000057,49.714285714285715,149.0,7,At-Risk
INV000069,49.111111111111114,129.0,9,At-Risk
INV000072,83.0,247.0,5,At-Risk
INV000073,48.25,112.0,8,At-Risk
INV000074,72.57142857142857,191.0,7,At-Risk
INV000075,74.8,102.0,5,At-Risk
INV000076,91.8,203.0,5,At-Risk
INV000079,65.8,90.0,5,At-Risk
INV000081,81.33333333333333,167.0,6,At-Risk
INV000082,83.66666666666667,351.0,6,At-Risk
INV000086,44.666666666666664,167.0,9,At-Risk
INV000087,92.8,202.0,5,At-Risk
INV000091,44.0,105.0,7,At-Risk
INV000093,55.5,91.0,6,At-Risk
INV000094,44.8,95.0,5,At-Risk
INV000095,69.4,155.0,5,At-Risk
INV000097,54.5,183.0,6,At-Risk
INV000101,65.0,197.0,7,At-Risk
INV000102,65.28571428571429,109.0,7,At-Risk
INV000103,83.4,232.0,5,At-Risk
INV000105,57.0,87.0,7,At-Risk
INV000109,46.25,63.0,8,At-Risk
INV000113,46.0,144.0,7,At-Risk
INV000123,59.666666666666664,142.0,6,At-Risk
INV000128,82.0,181.0,5,At-Risk
INV000131,56.0,123.0,6,At-Risk
INV000132,71.0,139.0,5,At-Risk
INV000133,88.2,265.0,5,At-Risk
INV000138,76.2,220.0,5,At-Risk
INV000145,89.4,282.0,5,At-Risk
INV000146,66.8,171.0,5,At-Risk
INV000148,52.0,168.0,8,At-Risk
INV000155,37.333333333333336,99.0,6,At-Risk
INV000161,73.0,213.0,6,At-Risk
INV000163,61.0,80.0,7,At-Risk
INV000164,61.8,208.0,5,At-Risk
INV000169,67.83333333333333,145.0,6,At-Risk
INV000173,57.666666666666664,165.0,6,At-Risk
INV000175,83.66666666666667,170.0,6,At-Risk
INV000177,65.42857142857143,278.0,7,At-Risk
INV000180,61.8,229.0,5,At-Risk
INV000183,56.125,216.0,8,At-Risk
INV000191,56.5,161.0,6,At-Risk
INV000194,58.0,109.0,6,At-Risk
INV000195,77.4,114.0,5,At-Risk
INV000196,69.0,176.0,6,At-Risk
INV000201,51.125,100.0,8,At-Risk
INV000205,62.57142857142857,193.0,7,At-Risk
INV000210,70.71428571428571,163.0,7,At-Risk
INV000214,94.8,306.0,5,At-Risk
INV000217,92.0,183.0,5,At-Risk
INV000228,59.75,188.0,8,At-Risk
INV000236,67.14285714285714,112.0,7,At-Risk
INV000238,93.6,287.0,5,At-Risk
INV000239,48.857142857142854,105.0,7,At-Risk
INV000243,88.2,137.0,5,At-Risk
INV000245,92.2,164.0,5,At-Risk
INV000249,45.5,162.0,6,At-Risk
INV000252,50.4,96.0,5,At-Risk
INV000255,48.6,103.0,5,At-Risk
INV000256,70.2,155.0,5,At-Risk
INV000259,70.6,165.0,5,At-Risk
INV000260,59.57142857142857,206.0,7,At-Risk
INV000262,53.57142857142857,122.0,7,At-Risk
INV000263,68.42857142857143,271.0,7,At-Risk
INV000265,53.44444444444444,140.0,9,At-Risk
INV000268,62.333333333333336,143.0,6,At-Risk
INV000279,43.375,133.0,8,At-Risk
INV000280,55.75,191.0,8,At-Risk
INV000283,68.0,195.0,5,At-Risk
INV000287,69.83333333333333,301.0,6,At-Risk
INV000289,62.714285714285715,142.0,7,At-Risk
INV000291,89.0,196.0,5,At-Risk
INV000292,46.0,95.0,6,At-Risk
INV000293,47.0,91.0,6,At-Risk
INV000297,90.6,163.0,5,At-Risk
INV000299,85.2,240.0,5,At-Risk
INV000304,70.0,204.0,6,At-Risk
INV000309,52.0,157.0,7,At-Risk
INV000310,75.83333333333333,164.0,6,At-Risk
INV000318,97.4,175.0,5,At-Risk
INV000319,73.5,201.0,6,At-Risk
INV000321,72.83333333333333,204.0,6,At-Risk
INV000328,37.5,73.0,8,At-Risk
INV000331,50.714285714285715,163.0,7,At-Risk
INV000334,25.5,60.0,6,Regular
INV000335,96.0,279.0,5,At-Risk
INV000339,94.0,195.0,5,At-Risk
INV000341,54.42857142857143,191.0,7,At-Risk
INV000356,54.4,157.0,5,At-Risk
INV000359,54.125,197.0,8,At-Risk
INV000363,77.0,153.0,6,At-Risk
INV000369,43.8,112.0,5,At-Risk
INV000371,59.285714285714285,147.0,7,At-Risk
INV000372,54.5,121.0,6,At-Risk
INV000380,97.0,272.0,5,At-Risk
INV000388,53.625,119.0,8,At-Risk
INV000392,77.16666666666667,205.0,6,At-Risk
INV000395,55.666666666666664,119.0,6,At-Risk
INV000396,83.2,153.0,5,At-Risk
INV000399,49.55555555555556,68.0,9,At-Risk
INV000400,62.6,101.0,5,At-Risk
INV000403,58.2,90.0,5,At-Risk
INV000407,82.4,157.0,5,At-Risk
INV000408,46.8,125.0,5,At-Risk
INV000412,43.714285714285715,70.0,7,At-Risk
INV000414,66.28571428571429,233.0,7,At-Risk
INV000415,66.16666666666667,128.0,6,At-Risk
INV000418,86.8,238.0,5,At-Risk
INV000427,68.5,116.0,6,At-Risk
INV000428,52.142857142857146,164.0,7,At-Risk
INV000429,77.2,187.0,5,At-Risk
INV000437,97.8,295.0,5,At-Risk
INV000440,69.57142857142857,162.0,7,At-Risk
INV000441,60.8,151.0,5,At-Risk
INV000444,73.2,129.0,5,At-Risk
INV000445,57.75,129.0,8,At-Risk
INV000446,38.6,101.0,5,At-Risk
INV000449,46.8,70.0,5,At-Risk
INV000452,49.375,123.0,8,At-Risk
INV000457,91.4,256.0,5,At-Risk
INV000460,43.4,107.0,5,At-Risk
INV000463,65.16666666666667,181.0,6,At-Risk
INV000466,73.33333333333333,135.0,6,At-Risk
INV000467,56.666666666666664,272.0,9,At-Risk
INV000469,70.5,183.0,6,At-Risk
INV000483,70.42857142857143,252.0,7,At-Risk
INV000491,95.0,202.0,5,At-Risk
INV000493,47.55555555555556,201.0,9,At-Risk
INV000497,71.83333333333333,191.0,6,At-Risk
INV000499,77.83333333333333,157.0,6,At-Risk
INV000507,70.16666666666667,249.0,6,At-Risk
INV000512,54.75,112.0,8,At-Risk
INV000522,100.8,309.0,5,At-Risk
INV000524,55.0,91.0,6,At-Risk
INV000527,50.8,116.0,5,At-Risk
INV000529,59.2,110.0,5,At-Risk
INV000531,47.0,82.0,6,At-Risk
INV000539,77.0,153.0,6,At-Risk
INV000540,73.5,123.0,6,At-Risk
INV000543,83.66666666666667,218.0,6,At-Risk
INV000545,80.6,181.0,5,At-Risk
INV000546,55.0,154.0,8,At-Risk
INV000547,55.8,140.0,5,At-Risk
INV000549,96.2,146.0,5,At-Risk
INV000553,72.0,172.0,5,At-Risk
INV000554,70.2,171.0,5,At-Risk
INV000556,52.42857142857143,156.0,7,At-Risk
INV000562,74.4,197.0,5,At-Risk
INV000563,76.33333333333333,198.0,6,At-Risk
INV000566,35.0,119.0,6,Regular
INV000567,63.8,166.0,5,At-Risk
INV000568,62.4,180.0,5,At-Risk
INV000570,67.28571428571429,186.0,7,At-Risk
INV000573,50.833333333333336,154.0,6,At-Risk
INV000575,71.6,155.0,5,At-Risk
INV000578,66.83333333333333,164.0,6,At-Risk
INV000581,78.33333333333333,160.0,6,At-Risk
INV000586,44.5,111.0,6,At-Risk
INV000589,59.125,90.0,8,At-Risk
INV000591,64.5,112.0,6,At-Risk
INV000593,74.2,179.0,5,At-Risk
INV000596,51.75,140.0,8,At-Risk
INV000597,88.6,198.0,5,At-Risk
INV000599,81.5,171.0,6,At-Risk
INV000607,66.66666666666667,209.0,6,At-Risk
INV000608,100.2,324.0,5,At-Risk
INV000609,47.0,87.0,5,At-Risk
INV000612,49.3,169.0,10,At-Risk
INV000615,55.833333333333336,139.0,6,At-Risk
INV000624,31.666666666666668,53.0,6,Regular
INV000625,86.4,134.0,5,At-Risk
INV000630,68.66666666666667,161.0,6,At-Risk
INV000631,54.0,145.0,5,At-Risk
INV000634,52.25,147.0,8,At-Risk
INV000635,75.0,240.0,5,At-Risk
INV000641,54.8,126.0,5,At-Risk
INV000642,53.5,139.0,8,At-Risk
INV000645,66.0,127.0,5,At-Risk
INV000646,62.333333333333336,138.0,6,At-Risk
INV000651,94.0,304.0,5,At-Risk
INV000652,93.8,262.0,5,At-Risk
INV000657,64.71428571428571,106.0,7,At-Risk
INV000662,66.14285714285714,185.0,7,At-Risk
INV000663,94.4,247.0,5,At-Risk
INV000665,36.22222222222222,148.0,9,At-Risk
INV000667,68.0,134.0,5,At-Risk
INV000673,92.8,235.0,5,At-Risk
INV000675,62.8,155.0,5,At-Risk
INV000676,35.3,106.0,10,At-Risk
INV000678,63.333333333333336,140.0,6,At-Risk
INV000683,54.5,137.0,8,At-Risk
INV000690,56.285714285714285,134.0,7,At-Risk
INV000691,66.4,163.0,5,At-Risk
INV000698,52.25,219.0,8,At-Risk
INV000699,42.8,147.0,5,At-Risk
INV000701,83.66666666666667,298.0,6,At-Risk
INV000707,34.375,106.0,8,Regular
INV000709,65.16666666666667,128.0,6,At-Risk
INV000710,88.6,264.0,5,At-Risk
INV000714,37.0,95.0,8,At-Risk
INV000718,57.833333333333336,118.0,6,At-Risk
INV000719,72.83333333333333,185.0,6,At-Risk
INV000724,81.2,227.0,5,At-Risk
INV000725,67.66666666666667,92.0,6,At-Risk
INV000734,64.0,180.0,7,At-Risk
INV000737,92.6,168.0,5,At-Risk
INV000747,84.6,205.0,5,At-Risk
INV000750,26.5,84.0,8,Regular
INV000751,53.0,193.0,8,At-Risk
INV000754,72.33333333333333,103.0,6,At-Risk
INV000759,83.0,156.0,6,At-Risk
INV000761,75.16666666666667,173.0,6,At-Risk
INV000768,60.0,124.0,7,At-Risk
INV000772,46.0,81.0,5,At-Risk
INV000774,73.66666666666667,169.0,6,At-Risk
INV000776,59.42857142857143,116.0,7,At-Risk
INV000777,66.0,121.0,5,At-Risk
INV000778,59.714285714285715,182.0,7,At-Risk
INV000779,75.0,153.0,5,At-Risk
INV000783,89.8,187.0,5,At-Risk
INV000785,32.6,66.0,5,Regular
INV000786,64.125,199.0,8,At-Risk
INV000789,55.142857142857146,225.0,7,At-Risk
INV000793,69.14285714285714,149.0,7,At-Risk
INV000803,77.16666666666667,147.0,6,At-Risk
INV000814,94.0,195.0,5,At-Risk
INV000822,55.5,141.0,6,At-Risk
INV000823,39.666666666666664,69.0,6,At-Risk
INV000827,58.285714285714285,122.0,7,At-Risk
INV000830,72.2,165.0,5,At-Risk
INV000833,67.28571428571429,182.0,7,At-Risk
INV000836,84.8,123.0,5,At-Risk
INV000843,55.6,102.0,5,At-Risk
INV000844,66.16666666666667,151.0,6,At-Risk
INV000847,47.8,75.0,5,At-Risk
INV000853,49.333333333333336,193.0,9,At-Risk
INV000854,61.25,170.0,8,At-Risk
INV000858,44.875,157.0,8,At-Risk
INV000862,91.2,372.0,5,At-Risk
INV000864,40.8,106.0,5,At-Risk
INV000865,45.75,99.0,8,At-Risk
INV000869,65.4,100.0,5,At-Risk
INV000873,73.5,299.0,6,At-Risk
INV000874,62.125,149.0,8,At-Risk
INV000877,59.4,159.0,5,At-Risk
INV000881,46.111111111111114,155.0,9,At-Risk
INV000887,65.66666666666667,268.0,6,At-Risk
INV000888,80.33333333333333,166.0,6,At-Risk
INV000893,59.5,147.0,6,At-Risk
INV000894,55.0,105.0,5,At-Risk
INV000901,54.0,95.0,5,At-Risk
INV000907,59.2,139.0,5,At-Risk
INV000920,75.6,220.0,5,At-Risk
INV000926,80.0,111.0,5,At-Risk
INV000929,58.166666666666664,116.0,6,At-Risk
INV000930,32.42857142857143,118.0,7,Regular
INV000935,30.875,73.0,8,Regular
INV000939,60.57142857142857,154.0,7,At-Risk
INV000942,53.0,92.0,6,At-Risk
INV000949,67.5,135.0,6,At-Risk
INV000950,91.0,215.0,5,At-Risk
INV000971,46.833333333333336,139.0,6,At-Risk
INV000974,73.5,143.0,6,At-Risk
INV000977,48.77777777777778,147.0,9,At-Risk
INV000979,79.8,115.0,5,At-Risk
INV000980,44.42857142857143,121.0,7,At-Risk
INV000981,50.4,104.0,5,At-Risk
INV000986,60.833333333333336,182.0,6,At-Risk
INV000994,63.8,167.0,5,At-Risk
INV001001,60.285714285714285,137.0,7,At-Risk
INV001002,41.666666666666664,85.0,6,At-Risk
INV001005,93.6,206.0,5,At-Risk
INV001008,64.66666666666667,191.0,6,At-Risk
INV001013,96.8,164.0,5,At-Risk
INV001017,67.0,142.0,5,At-Risk
INV001019,44.875,180.0,8,At-Risk
INV001021,68.66666666666667,186.0,6,At-Risk
INV001023,72.42857142857143,202.0,7,At-Risk
INV001025,38.8,76.0,5,At-Risk
INV001026,69.4,132.0,5,At-Risk
INV001037,42.0,86.0,9,At-Risk
INV001039,66.2,187.0,5,At-Risk
INV001041,83.0,195.0,6,At-Risk
INV001047,66.16666666666667,142.0,6,At-Risk
INV001048,47.0,84.0,7,At-Risk
INV001051,54.142857142857146,139.0,7,At-Risk
INV001053,55.857142857142854,116.0,7,At-Risk
INV001055,93.2,177.0,5,At-Risk
INV001060,53.375,89.0,8,At-Risk
INV001061,51.125,141.0,8,At-Risk
INV001063,43.285714285714285,120.0,7,At-Risk
INV001064,59.5,160.0,8,At-Risk
INV001069,41.285714285714285,98.0,7,At-Risk
INV001070,97.0,329.0,5,At-Risk
INV001092,77.33333333333333,186.0,6,At-Risk
INV001099,26.142857142857142,63.0,7,Regular
INV001102,55.333333333333336,87.0,6,At-Risk
INV001115,81.4,290.0,5,At-Risk
INV001116,58.125,194.0,8,At-Risk
INV001117,61.714285714285715,137.0,7,At-Risk
INV001130,76.83333333333333,131.0,6,At-Risk
INV001137,57.0,120.0,6,At-Risk
INV001140,60.4,125.0,5,At-Risk
INV001141,97.6,132.0,5,At-Risk
INV001142,42.833333333333336,106.0,6,At-Risk
INV001156,102.4,175.0,5,At-Risk
INV001160,57.57142857142857,99.0,7,At-Risk
INV001161,80.6,159.0,5,At-Risk
INV001163,67.33333333333333,255.0,6,At-Risk
INV001167,96.2,207.0,5,At-Risk
INV001170,68.2,119.0,5,At-Risk
INV001173,67.0,146.0,5,At-Risk
INV001178,79.66666666666667,140.0,6,At-Risk
INV001180,74.4,198.0,5,At-Risk
INV001181,67.42857142857143,163.0,7,At-Risk
INV001190,97.0,198.0,5,At-Risk
INV001195,53.42857142857143,167.0,7,At-Risk
INV001196,92.2,169.0,5,At-Risk
INV001202,58.0,103.0,7,At-Risk
INV001206,83.6,190.0,5,At-Risk
INV001208,51.833333333333336,107.0,6,At-Risk
INV001210,36.875,93.0,8,At-Risk
INV001217,60.142857142857146,205.0,7,At-Risk
INV001219,50.857142857142854,118.0,7,At-Risk
INV001220,77.16666666666667,104.0,6,At-Risk
INV001223,70.83333333333333,175.0,6,At-Risk
INV001234,60.57142857142857,119.0,7,At-Risk
INV001235,59.0,161.0,8,At-Risk
INV001237,98.0,182.0,5,At-Risk
INV001238,68.5,220.0,6,At-Risk
INV001242,69.8,128.0,5,At-Risk
INV001251,82.0,223.0,5,At-Risk
INV001262,44.833333333333336,116.0,6,At-Risk
INV001274,73.33333333333333,161.0,6,At-Risk
INV001275,66.66666666666667,140.0,6,At-Risk
INV001282,67.0,196.0,5,At-Risk
INV001287,92.2,157.0,5,At-Risk
INV001288,45.666666666666664,148.0,6,At-Risk
INV001291,76.2,181.0,5,At-Risk
INV001295,50.75,165.0,8,At-Risk
INV001298,71.83333333333333,158.0,6,At-Risk
INV001299,51.25,121.0,8,At-Risk
INV001304,97.6,177.0,5,At-Risk
INV001308,54.625,147.0,8,At-Risk
INV001310,81.2,232.0,5,At-Risk
INV001314,50.44444444444444,130.0,9,At-Risk
INV001315,51.833333333333336,124.0,6,At-Risk
INV001316,92.4,198.0,5,At-Risk
INV001317,84.8,162.0,5,At-Risk
INV001318,46.22222222222222,150.0,9,At-Risk
INV001326,69.42857142857143,182.0,7,At-Risk
INV001329,68.2,97.0,5,At-Risk
INV001331,94.2,202.0,5,At-Risk
INV001332,80.0,179.0,6,At-Risk
INV001333,78.66666666666667,185.0,6,At-Risk
INV001336,65.85714285714286,198.0,7,At-Risk
INV001348,47.833333333333336,121.0,6,At-Risk
INV001351,70.5,208.0,6,At-Risk
INV001355,60.2,187.0,5,At-Risk
INV001356,79.2,191.0,5,At-Risk
INV001359,72.5,313.0,6,At-Risk
INV001361,50.5,103.0,6,At-Risk
INV001367,99.0,222.0,5,At-Risk
INV001375,78.5,176.0,6,At-Risk
INV001376,78.66666666666667,181.0,6,At-Risk
INV001383,56.142857142857146,117.0,7,At-Risk
INV001387,57.25,130.0,8,At-Risk
INV001394,63.57142857142857,171.0,7,At-Risk
INV001400,76.8,266.0,5,At-Risk
INV001401,68.6,197.0,5,At-Risk
INV001406,47.666666666666664,202.0,9,At-Risk
INV001407,45.2,141.0,5,At-Risk
INV001415,68.14285714285714,173.0,7,At-Risk
INV001418,88.6,187.0,5,At-Risk
INV001419,85.8,137.0,5,At-Risk
INV001423,48.57142857142857,105.0,7,At-Risk
INV001428,79.4,174.0,5,At-Risk
INV001432,71.4,175.0,5,At-Risk
INV001434,80.6,178.0,5,At-Risk
INV001442,57.125,238.0,8,At-Risk
INV001454,73.0,176.0,6,At-Risk
INV001455,64.71428571428571,153.0,7,At-Risk
INV001457,43.8,63.0,5,At-Risk
INV001458,59.833333333333336,101.0,6,At-Risk
INV001466,44.6,82.0,5,At-Risk
INV001472,79.0,141.0,5,At-Risk
INV001482,80.6,280.0,5,At-Risk
INV001485,55.0,150.0,8,At-Risk
INV001491,98.8,260.0,5,At-Risk
INV001497,63.0,138.0,8,At-Risk
INV001504,54.25,134.0,8,At-Risk
INV001507,86.2,167.0,5,At-Risk
INV001510,66.83333333333333,124.0,6,At-Risk
INV001514,51.833333333333336,72.0,6,At-Risk
INV001516,56.8,85.0,5,At-Risk
INV001526,50.4,134.0,5,At-Risk
INV001530,64.66666666666667,122.0,6,At-Risk
INV001532,56.833333333333336,101.0,6,At-Risk
INV001536,69.0,189.0,6,At-Risk
INV001545,92.8,208.0,5,At-Risk
INV001547,72.16666666666667,119.0,6,At-Risk
INV001548,80.6,197.0,5,At-Risk
INV001550,79.0,191.0,6,At-Risk
INV001551,61.8,131.0,5,At-Risk
INV001562,44.22222222222222,146.0,9,At-Risk
INV001564,55.714285714285715,157.0,7,At-Risk
INV001569,83.4,314.0,5,At-Risk
INV001579,75.0,193.0,6,At-Risk
INV001580,45.666666666666664,119.0,6,At-Risk
INV001585,56.6,182.0,5,At-Risk
INV001587,65.0,144.0,6,At-Risk
INV001597,56.0,165.0,6,At-Risk
INV001599,58.2,133.0,5,At-Risk
INV001602,93.8,294.0,5,At-Risk
INV001603,54.5,93.0,6,At-Risk
INV001605,60.57142857142857,136.0,7,At-Risk
INV001606,67.66666666666667,148.0,6,At-Risk
INV001616,53.0,117.0,8,At-Risk
INV001623,92.0,188.0,5,At-Risk
INV001625,72.0,209.0,5,At-Risk
INV001628,51.714285714285715,139.0,7,At-Risk
INV001629,67.5,82.0,6,At-Risk
INV001631,57.0,101.0,5,At-Risk
INV001636,48.875,159.0,8,At-Risk
INV001641,88.4,168.0,5,At-Risk
INV001644,65.6,89.0,5,At-Risk
INV001645,67.6,202.0,5,At-Risk
INV001649,51.666666666666664,120.0,9,At-Risk
INV001651,78.66666666666667,130.0,6,At-Risk
INV001653,55.2,94.0,5,At-Risk
INV001654,56.0,137.0,6,At-Risk
INV001656,59.857142857142854,246.0,7,At-Risk
INV001662,60.2,147.0,5,At-Risk
INV001672,34.0,130.0,8,Regular
INV001673,49.3,181.0,10,At-Risk
INV001680,58.875,200.0,8,At-Risk
INV001683,72.5,186.0,6,At-Risk
INV001689,83.6,153.0,5,At-Risk
INV001690,81.16666666666667,114.0,6,At-Risk
INV001691,82.0,254.0,5,At-Risk
INV001694,66.14285714285714,144.0,7,At-Risk
